_id,term,high_school_name,high_school_ceeb,city,county,zip_code,total_attending_suny_institutions,attending_suny_doctoral_institutions,attending_suny_comprehensive_colleges,attending_suny_technology_colleges,attending_suny_community_colleges
608833494e591253b59374a4,2019,Destiny Christian School,334787,Rochester,Monroe,14620,1,0,0,0,1
608833494e591253b59374a5,2019,P 811 Q @ Queens H S Of Teachi,330399,Bellerose,Queens,11425,4,0,1,0,1
608833494e591253b59374a6,2019,Spencerport High School,335305,Spencerport,Monroe,14559,141,16,32,8,85
608833494e591253b59374a7,2019,Cohoes High School,331425,Cohoes,Albany,12047,48,4,1,1,41
608833494e591253b59374a8,2019,Syracuse Academy Of Science,335449,Syracuse,Onondaga,13204,31,5,1,0,23
608833494e591253b59374a9,2019,Saratoga Central Catholic Jr -,335050,Saratoga Springs,Saratoga,12866,8,1,1,1,4
608833494e591253b59374aa,2019,Cathedral Preparatory School A,331813,Elmhurst,Queens,11373,1,0,1,0,0
608833494e591253b59374ab,2019,Islip High School,332525,Islip,Suffolk,11751,110,17,13,13,67
608833494e591253b59374ac,2019,Achievement First Brooklyn  H,330484,Brooklyn,Kings,11216,24,11,11,1,1
608833494e591253b59374ad,2019,Millennium High School,333798,New York,New York,10004,28,23,1,0,1
608833494e591253b59374ae,2019,Morristown Central School,333235,Morristown,St. Lawrence,13664,9,0,1,5,1
608833494e591253b59374af,2019,Fort Ann Central School,331955,Fort Ann,Washington,12827,15,0,0,0,15
608833494e591253b59374b0,2019,Long Island Lutheran  M S -- H,332101,Brookville,Nassau,11545,18,8,1,5,1
608833494e591253b59374b1,2019,Holy Trinity Diocesan High Sch,332363,Hicksville,Nassau,11801,66,12,15,6,33
608833494e591253b59374b2,2019,Martin Luther High School,336027,Maspeth,Queens,11378,6,1,1,1,1
608833494e591253b59374b3,2019,Greece Olympia School,334804,Rochester,Monroe,14615,63,4,9,0,50
608833494e591253b59374b4,2019,Urban Action Academy,331034,Brooklyn,Kings,11236,1,0,0,0,1
608833494e591253b59374b5,2019,Academy School,331112,Buffalo,Erie,14204,1,0,0,0,1
608833494e591253b59374b6,2019,Bronx Envision Academy,330472,Bronx,Bronx,10460,6,0,1,4,0
608833494e591253b59374b7,2019,Oakwood Friends School,334625,Poughkeepsie,Dutchess,12603,5,1,0,0,4
608833494e591253b59374b8,2019,Cooperstown Central High Schoo,331470,Cooperstown,Otsego,13326,31,7,10,5,9
608833494e591253b59374b9,2019,Iroquois  High School,331810,Elma,Erie,14059,106,27,32,11,36
608833494e591253b59374ba,2019,Pleasantville High School,334560,Pleasantville,Westchester,10570,40,11,10,1,17
608833494e591253b59374bb,2019,Christian Central Academy,331003,Buffalo,Erie,14221,1,0,0,0,1
608833494e591253b59374bc,2019,Kingsborough Early Col Sec Sch,331126,Brooklyn,Kings,11214,4,1,1,1,0
608833494e591253b59374bd,2019,Moriah Central School,333220,Port Henry,Essex,12974,25,1,6,6,12
608833494e591253b59374be,2019,The Gow School,335290,South Wales,Erie,14139,1,0,0,1,0
608833494e591253b59374bf,2019,Westfield Academy And Central,335880,Westfield,Chautauqua,14787,22,1,5,1,13
608833494e591253b59374c0,2019,Valley Stream Christian Academ,335711,Valley Stream,Nassau,11580,1,1,0,0,0
608833494e591253b59374c1,2019,Bronx High School Of Science,333480,Bronx,Bronx,10468,143,135,1,0,5
608833494e591253b59374c2,2019,Leadership Academy Young Men,331156,Rochester,Monroe,14612,18,0,6,0,12
608833494e591253b59374c3,2019,Corinth High School,331485,Corinth,Saratoga,12822,36,1,8,1,24
608833494e591253b59374c4,2019,Bushwick Community High School,330598,Brooklyn,Kings,11221,1,0,0,0,1
608833494e591253b59374c5,2019,August Martin High School,332590,Jamaica,Queens,11434,8,1,1,1,5
608833494e591253b59374c6,2019,John C Birdlebough High School,334510,Phoenix,Oswego,13135,45,1,10,5,27
608833494e591253b59374c7,2019,Camden High School,331170,Camden,Oneida,13316,76,12,15,14,35
608833494e591253b59374c8,2019,Prattsburgh Central School,334635,Prattsburgh,Steuben,14873,9,0,1,4,4
608833494e591253b59374c9,2019,East Meadow High School,331715,East Meadow,Nassau,11554,166,23,28,31,84
608833494e591253b59374ca,2019,Mohonasen Senior High School,335103,Schenectady,Schenectady,12303,114,15,13,5,81
608833494e591253b59374cb,2019,Saint Josephs Collegiate Inst,331095,Buffalo,Erie,14223,47,22,9,1,15
608833494e591253b59374cc,2019,Yeshivas Ohr Reuven High Sch,333186,Suffern,Rockland,10901,1,0,0,0,1
608833494e591253b59374cd,2019,Sar High School,334751,Riverdale,Bronx,10471,9,4,1,0,4
608833494e591253b59374ce,2019,Yeshiva Ateret Torah,330834,Brooklyn,Kings,11223,1,0,0,0,1
608833494e591253b59374cf,2019,Saint Francis High School,330230,Hamburg,Erie,14075,43,19,6,1,16
608833494e591253b59374d0,2019,Herkimer Junior Senior High Sc,332345,Herkimer,Herkimer,13350,38,1,1,1,33
608833494e591253b59374d1,2019,Scholars Academy,334873,Rockaway Park,Queens,11694,46,29,12,1,1
608833494e591253b59374d2,2019,Jamesville - Dewitt High Schoo,331615,Dewitt,Onondaga,13214,80,23,18,4,35
608833494e591253b59374d3,2019,Sacred Heart High School,336070,Yonkers,New York,10703,21,4,1,1,14
608833494e591253b59374d4,2019,Owego Free Academy,334375,Owego,Tioga,13827,80,8,15,10,47
608833494e591253b59374d5,2019,New Design High School,333842,New York,New York,10002,8,1,1,0,4
608833494e591253b59374d6,2019,Community School For Social Ju,330524,Bronx,Bronx,10451,7,1,1,1,1
608833494e591253b59374d7,2019,Academy Of Hospitality & Touri,330726,Brooklyn,Kings,11226,1,0,0,1,0
608833494e591253b59374d8,2019,City College Academy The Arts,332929,New York,New York,10040,11,4,7,0,0
608833494e591253b59374d9,2019,Comsewogue High School,334587,Port Jefferson S,Suffolk,11776,139,26,19,6,88
608833494e591253b59374da,2019,Avoca Central School,330275,Avoca,Steuben,14809,1,0,0,1,1
608833494e591253b59374db,2019,Bronx Compass High School,331119,Bronx,Bronx,10473,10,1,1,1,1
608833494e591253b59374dc,2019,Manhattan Bridges High School,333783,New York,New York,10019,1,0,1,1,0
608833494e591253b59374dd,2019,Fredonia High School,331995,Fredonia,Chautauqua,14063,66,9,36,1,19
608833494e591253b59374de,2019,Rochester Academy Charter Scho,334783,Rochester,Monroe,14612,27,0,1,1,24
608833494e591253b59374df,2019,Iris Wolfson High School,332189,Greenvale,Nassau,11548,1,0,1,0,1
608833494e591253b59374e0,2019,Coxsackie - Athens High School,331540,Coxsackie,Greene,12051,66,12,14,5,35
608833494e591253b59374e1,2019,High School Energy Technology,331109,Bronx,Bronx,10458,9,1,1,4,1
